user_id,login_ip,action_time,month_year,action,doc_type,doc_id
64,115.187.63.117,"2018-01-05 12:20:24",01-2018,"File Dispatch",F,2063
71,49.45.132.3,"2018-01-05 12:20:29",01-2018,"Log Out",U,71
57,115.187.63.117,"2018-01-05 12:20:54",01-2018,"File Receive",F,824
133,49.45.132.3,"2018-01-05 12:22:50",01-2018,Login,U,133
57,49.45.132.3,"2018-01-05 12:23:42",01-2018,"File Receive",F,41
94,49.45.132.3,"2018-01-05 12:23:49",01-2018,Almirah,F,2112
98,49.45.132.3,"2018-01-05 12:24:44",01-2018,"File Receive",F,662
94,49.45.132.3,"2018-01-05 12:25:14",01-2018,"Log Out",U,94
71,49.45.132.3,"2018-01-05 12:25:49",01-2018,"Log Out",U,71
98,49.45.132.3,"2018-01-05 12:26:47",01-2018,Almirah,F,662
123,49.45.132.3,"2018-01-05 12:27:11",01-2018,Login,U,123
57,49.45.132.3,"2018-01-05 12:28:27",01-2018,"File Receive",F,2079
123,115.187.63.117,"2018-01-05 12:30:16",01-2018,"Letter Attach To File",F,1609
57,115.187.63.117,"2018-01-05 12:30:32",01-2018,"File Receive",F,927
98,59.90.250.144,"2018-01-05 12:31:58",01-2018,"Add Notesheet",F,447
57,49.45.132.3,"2018-01-05 12:32:36",01-2018,"File Receive",F,809
57,49.45.132.3,"2018-01-05 12:34:37",01-2018,"File Receive",F,535
12,49.45.132.3,"2018-01-05 12:34:38",01-2018,Login,U,12
123,49.45.132.3,"2018-01-05 12:34:53",01-2018,"File Dispatch",F,1609
64,115.187.63.117,"2018-01-05 12:37:26",01-2018,"File Receive",F,449
98,59.90.250.144,"2018-01-05 12:38:18",01-2018,"Add Notesheet",F,447
94,49.45.132.3,"2018-01-05 12:38:26",01-2018,Login,U,94
132,49.45.132.3,"2018-01-05 12:40:14",01-2018,"File Receive",F,564
103,49.45.132.3,"2018-01-05 12:40:52",01-2018,"Letter Attach To File",F,1319
64,115.187.63.117,"2018-01-05 12:41:03",01-2018,"File Dispatch",F,449
98,59.90.250.144,"2018-01-05 12:41:36",01-2018,"Add Notesheet",F,447
102,49.45.132.3,"2018-01-05 12:41:59",01-2018,Login,U,102
64,49.45.132.3,"2018-01-05 12:43:47",01-2018,"File Receive",F,542
12,49.45.132.3,"2018-01-05 12:43:58",01-2018,Login,U,12
132,49.45.132.3,"2018-01-05 12:44:26",01-2018,"File Dispatch",F,564
3,49.45.132.3,"2018-01-05 12:44:57",01-2018,Login,U,3
98,59.90.250.144,"2018-01-05 12:45:00",01-2018,"Add Notesheet",F,447
102,49.45.132.3,"2018-01-05 12:46:21",01-2018,"File Dispatch",F,570
61,117.223.219.18,"2018-01-05 12:46:43",01-2018,"File Receive",F,2106
94,49.45.132.3,"2018-01-05 12:47:36",01-2018,"Letter Attach To File",F,1650
61,117.223.219.18,"2018-01-05 12:48:57",01-2018,"File Dispatch",F,2106
98,49.45.132.3,"2018-01-05 12:49:57",01-2018,"Add Notesheet",F,654
98,49.45.132.3,"2018-01-05 12:51:22",01-2018,"Add Notesheet",F,654
3,49.45.132.3,"2018-01-05 12:51:24",01-2018,"File Receive",F,568
71,49.45.132.3,"2018-01-05 12:52:12",01-2018,"File Receive",F,1354
98,49.45.132.3,"2018-01-05 12:53:28",01-2018,"Add Notesheet",F,654
57,49.45.132.3,"2018-01-05 12:54:08",01-2018,"File Receive",F,2106
133,117.248.150.133,"2018-01-05 12:54:15",01-2018,Login,U,133
3,49.45.132.3,"2018-01-05 12:55:33",01-2018,Almirah,F,568
71,49.45.132.3,"2018-01-05 12:55:58",01-2018,"File Dispatch",F,1354
56,49.45.132.3,"2018-01-05 12:55:59",01-2018,"Letter Creation",L,21075
72,115.187.63.117,"2018-01-05 12:56:02",01-2018,Login,U,72
57,115.187.63.117,"2018-01-05 12:56:18",01-2018,"File Dispatch",F,2106
3,115.187.63.117,"2018-01-05 12:56:57",01-2018,"Log Out",U,3
94,49.45.132.3,"2018-01-05 12:57:59",01-2018,"Add Notesheet",F,1650
98,49.45.132.3,"2018-01-05 12:58:08",01-2018,"Add Notesheet",F,654
64,49.45.132.3,"2018-01-05 12:58:26",01-2018,"File Dispatch",F,542
98,59.90.250.144,"2018-01-05 12:59:03",01-2018,"Add Notesheet",F,447
72,49.45.132.3,"2018-01-05 12:59:28",01-2018,"File Receive",F,570
104,49.45.132.5,"2018-01-05 13:01:05",01-2018,Login,U,104
94,49.45.132.3,"2018-01-05 13:01:07",01-2018,"File Dispatch",F,1650
61,117.223.219.18,"2018-01-05 13:01:48",01-2018,"Log Out",U,61
98,49.45.132.3,"2018-01-05 13:02:08",01-2018,"Add Notesheet",F,654
98,115.187.63.117,"2018-01-05 13:04:14",01-2018,"Add Notesheet",F,654
58,117.223.219.18,"2018-01-05 13:04:28",01-2018,Login,U,58
72,115.187.63.117,"2018-01-05 13:05:04",01-2018,"File Dispatch",F,570
133,49.45.132.3,"2018-01-05 13:06:15",01-2018,"File Receive",F,2035
58,117.223.219.18,"2018-01-05 13:06:39",01-2018,"File Dispatch",F,2035
133,49.45.132.3,"2018-01-05 13:07:16",01-2018,"File Dispatch",F,2035
78,49.45.132.3,"2018-01-05 13:08:43",01-2018,Login,U,78
58,117.223.219.18,"2018-01-05 13:09:23",01-2018,"File Receive",F,2035
78,49.45.132.3,"2018-01-05 13:11:06",01-2018,"File Receive",F,2073
98,49.45.132.3,"2018-01-05 13:11:46",01-2018,"Add Notesheet",F,654
58,117.223.219.18,"2018-01-05 13:11:50",01-2018,"File Dispatch",F,2035
61,117.223.219.18,"2018-01-05 13:13:21",01-2018,Login,U,61
57,49.45.132.3,"2018-01-05 13:13:29",01-2018,"File Receive",F,1172
57,49.45.132.3,"2018-01-05 13:15:32",01-2018,"File Dispatch",F,1172
98,49.45.132.3,"2018-01-05 13:16:18",01-2018,"Add Notesheet",F,654
78,49.45.132.3,"2018-01-05 13:16:55",01-2018,"File Dispatch",F,2073
98,49.45.132.3,"2018-01-05 13:16:59",01-2018,"Add Notesheet",F,654
102,49.45.132.3,"2018-01-05 13:18:00",01-2018,Login,U,102
19,117.248.150.133,"2018-01-05 13:18:38",01-2018,"Log Out",U,19
60,117.248.150.133,"2018-01-05 13:19:03",01-2018,Login,U,60
61,117.223.219.18,"2018-01-05 13:21:43",01-2018,"Log Out",U,61
103,49.45.132.3,"2018-01-05 13:22:09",01-2018,"Letter Attach To File",F,1319
103,49.45.132.3,"2018-01-05 13:25:13",01-2018,"Letter Attach To File",F,1319
102,49.45.132.3,"2018-01-05 13:26:53",01-2018,"File Dispatch",F,1815
103,49.45.132.3,"2018-01-05 13:27:02",01-2018,"Letter Attach To File",F,1319
7,117.248.151.45,"2018-01-05 13:29:19",01-2018,"File Receive",F,200
58,117.223.219.18,"2018-01-05 13:29:45",01-2018,"Log Out",U,58
61,117.223.219.18,"2018-01-05 13:30:24",01-2018,Login,U,61
126,49.45.132.3,"2018-01-05 13:31:23",01-2018,Login,U,126
12,117.248.150.98,"2018-01-05 13:31:24",01-2018,"File Receive",F,896
103,117.248.150.98,"2018-01-05 13:32:38",01-2018,"Letter Attach To File",F,1319
61,117.223.219.18,"2018-01-05 13:34:01",01-2018,"File Receive",F,449
94,115.187.63.117,"2018-01-05 13:34:52",01-2018,Login,U,94
102,49.45.132.3,"2018-01-05 13:35:15",01-2018,Login,U,102
61,117.223.219.18,"2018-01-05 13:36:37",01-2018,"File Dispatch",F,449
16,49.45.132.3,"2018-01-05 13:36:41",01-2018,Login,U,16
103,49.45.132.3,"2018-01-05 13:37:25",01-2018,"Letter Attach To File",F,1319
94,49.45.132.3,"2018-01-05 13:38:50",01-2018,"File Dispatch",F,1029
103,49.45.132.3,"2018-01-05 13:39:52",01-2018,"Letter Attach To File",F,1319
63,49.45.132.3,"2018-01-05 13:41:23",01-2018,"Log Out",U,63
60,49.45.132.3,"2018-01-05 13:41:47",01-2018,Login,U,60
103,49.45.132.3,"2018-01-05 13:42:35",01-2018,"File Edit",F,21081
98,49.45.132.3,"2018-01-05 13:43:33",01-2018,"File Receive",F,268
60,49.45.132.3,"2018-01-05 13:43:53",01-2018,"File Receive",F,488
